W1A,W1B,E1A,E1B,W2A,W2B,E2A,E2B,W3A,W3B,E3A,E3B,W4A,W4B,E4A,E4B,W5A,W5B,E5A,E5B
2D,2A,3B,3C,3E,4D,1A,1E,1C,2C,2B,4B,1B,2B,3D,4A,3A,2D,4E,4C
3E,3B,4C,4A,1C,1E,1A,2E,2B,2C,3A,4E,3D,4B,,,
1C,3D,1A,2C,2B,2A,4E,4C,1D,2D,1E,3B,,,,
4E,4C,3C,3A,2E,2B,3D,4B,1E,4A,,,,,
1C,2C,3C,4C,1D,1E,3A,4D,2D,2E,3B,4B,,,,
1E,3E,3B,4E,2B,2C,1D,3A,,,,,,
3C,4E,3B,3E,4A,4C,1C,1A,1D,3D,2B,2A,1B,4B,,,
1B,1C,4B,4C,3C,4E,1A,2C,1E,3E,,,,,
1C,4C,1E,1A,1B,3B,3E,4E,3C,3A,2B,4B,2E,2A,,,
1D,2B,3B,3E,4E,4D,2A,3A,,,,,,
1D,4E,3D,4B,4A,4D,2A,2B,,,,,,
1E,1D,3E,4C,3D,3A,4B,4E,1B,3C,1A,2B,,,,
2C,2E,1E,4E,1C,2A,1B,3B,,,,,,
1D,2A,1E,2C,2E,3A,3E,4C,4A,4B,2B,3C,,,,
1D,1A,2A,2E,1B,2B,2D,4D,3D,4B,1C,3C,,,,
1B,4B,3C,3A,1A,2E,1D,2D,2C,2B,,,,,
3B,4C,1C,1E,3A,3D,2A,2C,1D,1A,2E,2D,1B,3C,,,
1B,1C,3B,4D,1E,2C,1D,3A,4A,4B,1A,2E,3D,4E,,
1B,1A,2B,2D,3B,4A,1E,3E,1D,2C,,,

VertzPoutine Machine	Filthier	Corlears Hookers
What the Puck	Butchers	Mega Touch	Demons
Sky Fighters	Gremlins	Riots	Dark Rainbows
Lbs	Gouging Anklebiters	The Bad Seeds	The Agents
Instant Karma	Cobra Kai	Fuzz	Fresh Kills
